,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1753,Kingsley Michael\e63e122d,ng NGA,MF,Bologna,it Serie A,22-258,1999,0.8,30.0,35.0,85.7,532.5,86.3,16.3,17.5,92.9,6.25,8.75,71.4,6.25,7.50,83.3,0.00,0.00,0.00,0.00,3.75,0.00,0.00,2.50,Matches
1754,Sven Michel\1e274a0a,de GER,FW,Union Berlin,de Bundesliga,31-300,1990,3.5,22.0,33.7,65.3,336.9,70.6,11.1,14.3,78.0,5.71,10.6,54.1,3.14,4.57,68.8,0.29,0.51,-0.23,2.00,0.86,0.86,0.57,2.29,Matches
1755,Edouard Michut\fe6c1add,fr FRA,MF,Paris S-G,fr Ligue 1,19-068,2003,0.5,74.0,80.0,92.5,1018.0,214.0,48.0,50.0,96.0,22.0,22.0,100.0,4.00,4.00,100.0,2.00,0.20,1.80,2.00,2.00,0.00,0.00,0.00,Matches
1756,Miguel\6763373d,es ESP,FWMF,Alavés,es La Liga,22-250,1999,6.8,13.2,19.4,68.2,191.2,22.6,7.35,9.41,78.1,4.26,5.59,76.3,0.59,1.62,36.4,0.15,0.04,0.10,0.74,0.29,0.15,0.15,0.29,Matches
1757,Valentin Mihaila\81a4c239,ro ROU,FWMF,Atalanta,it Serie A,22-098,2000,0.8,22.5,43.8,51.4,297.5,45.0,15.0,20.0,75.0,7.50,12.5,60.0,0.00,3.75,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1758,Mikael\33502726,br BRA,FWMF,Salernitana,it Serie A,22-348,1999,1.0,11.0,17.0,64.7,130.0,25.0,8.00,9.00,88.9,1.00,4.00,25.0,1.00,2.00,50.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Matches
1759,Georges Mikautadze\4788cb6b,ge GEO,FW,Metz,fr Ligue 1,21-192,2000,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1760,William Mikelbrencis\14df1d7f,fr FRA,DF,Metz,fr Ligue 1,18-075,2004,5.4,33.9,48.3,70.1,577.6,251.9,16.9,20.2,83.5,13.3,17.8,75.0,2.78,8.33,33.3,0.19,0.06,0.13,0.37,2.22,0.56,0.00,3.70,Matches
1761,Nikola Milenković\bee704fc,rs SRB,DF,Fiorentina,it Serie A,24-211,1997,30.5,57.8,64.3,89.9,1309.9,348.4,13.7,15.5,88.4,31.9,33.5,95.3,11.8,14.3,82.3,0.00,0.00,0.00,0.03,3.44,0.03,0.00,2.72,Matches
1762,Arkadiusz Milik\85613cf0,pl POL,FW,Marseille,fr Ligue 1,28-072,1994,14.7,20.1,24.7,81.3,303.1,34.3,11.0,12.9,84.7,5.99,7.01,85.4,1.36,1.70,80.0,0.07,0.14,-0.07,1.02,1.09,0.68,0.00,1.22,Matches
1763,Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,Lazio,it Serie A,27-073,1995,32.4,56.3,69.0,81.7,951.6,234.0,28.7,32.7,87.6,19.8,23.6,84.2,5.90,9.17,64.3,0.25,0.18,0.06,1.51,4.72,1.57,0.34,4.85,Matches
1764,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,it Serie A,25-080,1997,27.0,19.9,38.2,52.0,800.9,555.5,1.63,1.70,95.7,7.89,8.07,97.7,10.3,28.4,36.4,0.00,0.00,0.00,0.00,2.19,0.04,0.00,0.00,Matches
1765,Éder Militão\2784f898,br BRA,DF,Real Madrid,es La Liga,24-113,1998,31.7,53.8,60.3,89.2,1165.1,326.3,16.8,17.7,94.7,26.2,28.0,93.7,10.1,13.3,76.1,0.06,0.04,0.03,0.35,4.42,0.22,0.03,2.18,Matches
1766,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,eng Premier League,31-034,1991,7.4,45.8,58.0,79.0,883.1,238.6,16.4,19.1,85.8,21.4,25.3,84.5,6.62,10.9,60.5,0.00,0.08,-0.08,0.95,3.24,0.81,0.27,4.32,Matches
1767,Luis Milla\19c36442,es ESP,MF,Granada,es La Liga,27-216,1994,28.8,38.6,48.5,79.7,790.7,263.0,15.3,17.2,89.5,15.2,17.0,89.0,7.08,12.4,57.1,0.10,0.13,-0.03,1.35,5.00,0.73,0.38,4.83,Matches
1768,Pere Milla\335039a2,es ESP,FWMF,Elche,es La Liga,29-230,1992,16.9,21.1,29.0,72.9,341.1,89.6,10.5,13.6,77.7,7.75,9.88,78.4,1.83,3.73,49.2,0.18,0.11,0.07,0.65,1.12,0.71,0.18,1.89,Matches
1769,Enzo Millot\f76022e7,fr FRA,MF,Stuttgart,de Bundesliga,19-298,2002,0.6,40.0,50.0,80.0,608.3,125.0,23.3,26.7,87.5,15.0,18.3,81.8,1.67,1.67,100.0,1.67,0.33,1.33,1.67,1.67,5.00,0.00,6.67,Matches
1770,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,eng Premier League,36-127,1986,8.0,61.4,75.0,81.8,1233.1,385.3,22.6,26.0,87.0,28.0,31.9,87.8,9.88,15.0,65.8,0.13,0.23,-0.10,1.75,7.88,2.00,0.25,7.13,Matches
1771,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,es La Liga,26-155,1995,26.3,17.3,25.6,67.6,257.4,44.1,10.0,14.2,70.8,4.41,6.58,67.1,1.63,2.55,64.2,0.11,0.08,0.04,0.61,1.29,0.42,0.00,1.41,Matches
1772,Yerry Mina\6d5701f2,co COL,DF,Everton,eng Premier League,27-230,1994,9.4,30.7,37.6,81.9,663.3,190.2,9.15,10.6,86.0,13.8,16.1,86.1,6.38,8.72,73.2,0.00,0.00,0.00,0.00,1.60,0.00,0.00,1.28,Matches
1773,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,eng Premier League,27-115,1995,1.1,31.8,37.3,85.4,466.4,77.3,18.2,22.7,80.0,11.8,12.7,92.9,0.91,0.91,100.0,0.00,0.36,-0.36,0.91,2.73,0.00,0.00,1.82,Matches
1774,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,eng Premier League,29-059,1993,32.4,35.8,44.7,80.0,793.7,284.4,9.23,10.9,84.7,19.9,22.0,90.6,6.39,11.1,57.7,0.09,0.05,0.05,0.31,2.19,0.19,0.03,2.28,Matches
1775,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,es La Liga,22-363,1999,8.8,56.6,66.7,84.8,1025.9,326.0,25.6,27.5,93.0,23.3,26.6,87.6,6.48,10.5,62.0,0.11,0.10,0.01,1.02,2.84,1.48,0.80,3.18,Matches
1776,Rafa Mir\bbf5c11b,es ESP,FW,Sevilla,es La Liga,24-327,1997,18.8,11.6,17.2,67.8,187.7,19.9,6.06,7.98,76.0,4.63,6.70,69.0,0.64,1.28,50.0,0.00,0.02,-0.02,0.48,0.59,0.37,0.05,0.85,Matches
1777,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,es La Liga,32-343,1989,20.5,36.4,47.9,76.1,663.9,275.0,16.5,18.9,87.6,15.0,18.9,79.3,4.34,8.20,53.0,0.00,0.03,-0.03,0.68,2.59,1.02,0.39,3.80,Matches
1778,Aleksei Miranchuk\a9aa0d1d,ru RUS,MFFW,Atalanta,it Serie A,26-206,1995,8.6,37.0,44.7,82.8,589.1,150.0,19.8,22.6,87.6,12.7,14.8,85.8,2.79,4.65,60.0,0.35,0.35,0.00,2.56,2.56,2.33,0.12,4.88,Matches
1779,Juan Miranda\ead61f73,es ESP,DF,Betis,es La Liga,22-112,2000,8.7,45.2,59.1,76.5,806.9,323.4,19.8,22.0,90.1,20.3,24.9,81.6,4.25,10.3,41.1,0.23,0.17,0.06,0.92,2.87,1.03,0.46,4.02,Matches
1780,Fabio Miretti\34693494,it ITA,MF,Juventus,it Serie A,18-281,2003,1.7,45.9,53.5,85.7,1025.9,355.3,14.1,16.5,85.7,18.8,19.4,97.0,11.2,14.7,76.0,0.00,0.24,-0.24,2.94,4.71,1.76,0.00,7.65,Matches
1781,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,eng Premier League,22-252,1999,31.5,40.1,54.9,73.0,681.1,326.3,18.6,21.1,88.3,17.7,22.9,77.0,3.05,8.06,37.8,0.06,0.04,0.02,0.60,2.86,1.11,0.48,3.84,Matches
1782,Stefan Mitrović\e6777e6b,rs SRB,DF,Getafe,es La Liga,31-354,1990,27.7,23.5,30.1,78.0,553.8,170.0,5.63,6.46,87.2,12.1,14.1,85.9,5.45,8.99,60.6,0.00,0.00,0.00,0.07,0.58,0.04,0.00,0.87,Matches
1783,Maximilian Mittelstädt\88d4144a,de GER,DFFW,Hertha BSC,de Bundesliga,25-054,1997,15.9,33.3,48.5,68.6,599.2,277.8,15.2,18.6,81.4,13.0,17.5,74.2,4.21,9.43,44.7,0.31,0.18,0.14,1.32,2.45,1.19,0.69,4.34,Matches
1784,Henrikh Mkhitaryan\dd0daf32,am ARM,MFFW,Roma,it Serie A,33-110,1989,27.7,35.0,42.3,82.7,627.9,149.0,16.2,18.5,87.7,13.8,16.2,85.3,4.37,5.52,79.1,0.18,0.17,0.01,1.37,3.03,1.52,0.22,4.04,Matches
1785,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,eng Premier League,23-034,1999,18.9,31.2,42.6,73.2,504.1,147.2,16.0,19.4,82.8,11.8,15.8,74.6,2.49,4.34,57.3,0.16,0.09,0.07,0.74,2.75,1.01,0.16,3.54,Matches
1786,Anthony Modeste\34e4343c,fr FRA,FW,Köln,de Bundesliga,34-027,1988,28.0,10.1,15.5,65.4,163.8,21.6,5.07,7.07,71.7,3.71,5.50,67.5,0.75,1.43,52.5,0.14,0.04,0.10,0.50,0.50,0.25,0.07,0.79,Matches
1787,Marco Modolo\fdcdb521,it ITA,DF,Venezia,it Serie A,33-049,1989,4.4,28.4,34.8,81.7,655.5,185.5,5.68,7.05,80.6,16.8,18.4,91.4,5.91,8.86,66.7,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.68,Matches
1788,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,es La Liga,36-244,1985,21.0,67.5,76.7,88.0,1271.9,362.2,30.7,32.6,94.0,24.5,27.1,90.2,10.5,13.2,79.1,0.24,0.15,0.09,1.57,7.81,1.62,0.14,7.29,Matches
1789,Terem Moffi\065dc209,ng NGA,FW,Lorient,fr Ligue 1,22-351,1999,28.6,14.2,19.1,74.5,214.0,42.8,8.60,10.4,82.6,3.50,5.03,69.4,1.29,1.99,64.9,0.14,0.13,0.01,1.01,1.01,0.59,0.14,1.33,Matches
1790,Kevin Möhwald\a5ce09f2,de GER,MF,Union Berlin,de Bundesliga,28-312,1993,3.9,36.4,45.6,79.8,639.2,181.3,15.6,18.2,85.9,15.4,19.0,81.1,3.85,5.13,75.0,0.00,0.08,-0.08,1.03,3.85,1.54,1.03,3.08,Matches
1791,Dion Moise Sahi\cdc4458b,ci CIV,FWMF,Strasbourg,fr Ligue 1,20-142,2001,1.4,27.9,30.0,92.9,416.4,105.0,15.7,17.1,91.7,10.7,10.7,100.0,0.71,0.71,100.0,0.00,0.07,-0.07,0.71,2.14,1.43,0.71,3.57,Matches
1792,Johan Mojica\608f2092,co COL,DF,Elche,es La Liga,29-263,1992,30.7,44.2,58.0,76.2,823.7,363.7,21.4,23.6,90.5,16.1,19.3,83.1,5.99,12.0,50.1,0.16,0.15,0.02,1.01,2.31,1.47,0.85,3.62,Matches
1793,Clinton Mola\29ddfb9c,eng ENG,DF,Stuttgart,de Bundesliga,21-057,2001,1.3,84.6,92.3,91.7,1779.2,400.0,24.6,27.7,88.9,48.5,50.8,95.5,11.5,13.8,83.3,0.00,0.00,0.00,0.00,3.08,0.00,0.00,3.85,Matches
1794,Jorge Molina\43f71e77,es ESP,FW,Granada,es La Liga,40-019,1982,20.0,15.6,24.3,64.0,229.9,61.3,9.20,12.9,71.0,4.95,7.60,65.1,0.95,1.90,50.0,0.25,0.15,0.10,1.30,1.35,0.50,0.05,1.95,Matches
1795,Nahuel Molina\23610943,ar ARG,DF,Udinese,it Serie A,24-160,1997,27.3,29.3,41.5,70.8,508.6,217.9,14.4,17.1,84.4,11.1,15.6,71.1,3.15,7.25,43.4,0.04,0.11,-0.08,1.21,2.20,1.65,0.70,3.77,Matches
1796,Cristian Molinaro\1c8c5aed,it ITA,DF,Venezia,it Serie A,38-285,1983,6.1,40.3,53.0,76.2,776.9,391.5,15.7,18.0,87.3,18.5,23.0,80.7,5.74,10.8,53.0,0.16,0.07,0.10,0.82,3.11,0.82,0.49,4.10,Matches
1797,Florent Mollet\7e82a78f,fr FRA,FWMF,Montpellier,fr Ligue 1,30-173,1991,27.5,33.2,41.1,80.8,549.1,141.7,17.3,18.9,91.2,11.1,13.1,84.5,3.35,6.22,53.8,0.07,0.11,-0.03,1.02,2.29,0.84,0.29,2.84,Matches
1798,Jon Moncayola\9939e168,es ESP,MF,Osasuna,es La Liga,23-363,1998,31.2,32.9,42.4,77.5,670.8,172.1,12.2,13.9,87.8,14.4,16.6,86.5,5.74,10.1,56.8,0.10,0.07,0.03,1.06,3.08,0.80,0.26,3.04,Matches
1799,Monchu\8ac501f5,es ESP,MF,Granada,es La Liga,22-240,1999,7.4,38.4,46.5,82.6,737.2,160.4,15.9,17.8,89.4,14.3,17.2,83.5,6.62,9.32,71.0,0.00,0.03,-0.03,0.27,3.92,0.68,0.27,3.92,Matches
1800,Thomas Monconduit\84d94b91,fr FRA,MF,Lorient,fr Ligue 1,31-090,1991,23.8,39.3,50.6,77.7,813.4,246.1,15.0,18.3,82.1,16.1,19.5,82.5,7.35,11.1,66.5,0.08,0.12,-0.04,1.22,4.83,0.59,0.13,5.29,Matches
1801,Gonzalo Montiel\374d5158,ar ARG,DF,Sevilla,es La Liga,25-130,1997,11.3,47.0,60.4,77.7,825.0,280.5,20.9,23.8,87.7,21.2,25.5,83.3,4.07,8.50,47.9,0.18,0.12,0.06,0.97,2.65,1.06,0.62,3.89,Matches
1802,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,it Serie A,26-080,1996,33.0,16.1,28.8,56.1,599.1,401.5,2.06,2.06,100.0,5.03,5.27,95.4,8.88,21.3,41.7,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,Matches
1803,Ángel Montoro\719384c1,es ESP,MF,Granada,es La Liga,33-320,1988,14.8,33.7,44.8,75.3,743.4,233.6,10.7,12.8,83.7,15.0,17.5,85.7,7.23,12.8,56.3,0.07,0.11,-0.04,1.55,3.78,0.74,0.14,3.85,Matches
1804,Martín Montoya\5cec2487,es ESP,DF,Betis,es La Liga,31-027,1991,5.8,44.1,54.0,81.8,739.8,239.7,22.8,26.0,87.4,17.4,21.0,82.8,3.10,5.52,56.3,0.17,0.19,-0.02,0.52,3.45,0.86,0.34,2.76,Matches
1805,Wesley Moraes\bfae110f,br BRA,FW,Aston Villa,eng Premier League,25-166,1996,0.0,2,2,100.0,19,10,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
1806,Álvaro Morata\129af0db,es ESP,FW,Juventus,it Serie A,29-200,1992,24.9,20.1,26.7,75.3,334.6,53.9,10.4,13.2,79.0,7.23,8.92,81.1,1.85,2.77,66.7,0.08,0.22,-0.14,1.73,1.12,0.68,0.20,1.57,Matches
1807,Jan Morávek\e7d22eae,cz CZE,MF,Augsburg,de Bundesliga,32-191,1989,5.2,25.2,35.4,71.2,434.8,106.3,13.1,16.0,81.9,5.96,8.65,68.9,4.04,7.31,55.3,0.00,0.12,-0.12,1.35,1.73,0.58,0.00,2.88,Matches
1808,Jon Morcillo\b7d7f3bf,es ESP,MF,Athletic Club,es La Liga,23-238,1998,0.6,33.3,56.7,58.8,455.0,125.0,21.7,26.7,81.3,11.7,16.7,70.0,0.00,10.0,0.0,0.00,0.00,0.00,0.00,1.67,0.00,0.00,3.33,Matches
1809,Jérémy Morel\e97150c0,mg MAD,DF,Lorient,fr Ligue 1,38-039,1984,4.7,32.8,40.2,81.5,685.5,249.4,9.79,10.6,92.0,17.2,19.6,88.0,5.53,9.79,56.5,0.00,0.02,-0.02,0.21,1.70,0.00,0.00,1.49,Matches
1810,Alberto Moreno\11b9265b,es ESP,MFDF,Villarreal,es La Liga,29-310,1992,13.6,36.8,45.8,80.3,645.8,170.0,16.8,19.6,85.8,15.4,18.1,85.0,3.90,6.47,60.2,0.15,0.15,0.00,1.40,1.84,1.62,0.51,2.79,Matches
1811,Álex Moreno\16e9d0ea,es ESP,DF,Betis,es La Liga,28-337,1993,24.7,38.7,52.4,73.8,641.0,256.4,19.9,22.4,88.6,15.2,20.4,74.8,2.83,6.92,40.9,0.12,0.08,0.04,0.85,2.15,1.13,0.49,3.24,Matches
1812,Gerard Moreno\81f0781e,es ESP,FW,Villarreal,es La Liga,30-034,1992,13.2,24.5,35.8,68.4,461.5,128.6,11.3,14.8,76.4,8.71,12.2,71.4,3.94,5.91,66.7,0.23,0.36,-0.13,2.20,2.88,1.89,0.30,4.47,Matches
1813,Tete Morente\004d185e,es ESP,MF,Elche,es La Liga,25-158,1996,16.3,22.6,32.1,70.4,361.4,107.4,13.2,15.8,83.7,6.93,10.0,69.3,2.02,4.11,49.3,0.18,0.13,0.06,0.98,1.60,1.10,0.61,2.64,Matches
1814,Ilaix Moriba\f4c69aa6,gn GUI,MF,RB Leipzig,de Bundesliga,19-112,2003,0.4,42.5,50.0,85.0,702.5,165.0,27.5,30.0,91.7,10.0,15.0,66.7,5.00,5.00,100.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,Matches
1815,Ilaix Moriba\f4c69aa6,gn GUI,MF,Valencia,es La Liga,19-112,2003,7.1,23.9,31.0,77.3,426.6,125.2,12.7,15.1,84.1,8.45,10.6,80.0,2.39,4.08,58.6,0.00,0.03,-0.03,0.28,2.68,0.99,0.14,2.68,Matches
1816,Manu Morlanes\a0255c67,es ESP,MF,Espanyol,es La Liga,23-119,1999,12.7,44.3,50.7,87.3,770.6,241.4,20.7,22.1,93.6,18.4,19.9,92.5,4.33,7.01,61.8,0.00,0.02,-0.02,0.39,4.65,0.47,0.16,4.57,Matches
1817,Raúl Moro\919dd4b1,es ESP,FW,Lazio,it Serie A,19-157,2002,2.2,34.1,39.5,86.2,505.0,61.4,18.2,20.0,90.9,14.1,16.4,86.1,0.45,0.91,50.0,0.45,0.09,0.36,2.27,0.45,0.91,0.45,1.36,Matches
1818,Loren Morón\3aa4a3be,es ESP,FWMF,Espanyol,es La Liga,28-132,1993,6.3,9.05,15.1,60.0,143.0,25.1,4.92,6.83,72.1,2.54,4.13,61.5,1.11,1.90,58.3,0.00,0.06,-0.06,0.48,0.79,0.16,0.16,0.32,Matches
1819,Loren Morón\3aa4a3be,es ESP,FW,Betis,es La Liga,28-132,1993,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1820,Tyler Morton\2bc28bb9,eng ENG,MF,Liverpool,eng Premier League,19-192,2002,0.7,45.7,52.9,86.5,837.1,174.3,20.0,21.4,93.3,20.0,21.4,93.3,5.71,8.57,66.7,0.00,0.00,0.00,0.00,11.4,0.00,0.00,4.29,Matches
1821,Cristhian Mosquera\dc1ce4f5,co COL,DF,Valencia,es La Liga,17-318,2004,2.4,27.9,31.7,88.2,601.7,152.5,7.92,8.33,95.0,15.4,17.1,90.2,4.17,5.83,71.4,0.00,0.00,0.00,0.00,3.33,0.00,0.00,2.50,Matches
1822,Lebo Mothiba\3eaf8817,za RSA,FW,Strasbourg,fr Ligue 1,26-103,1996,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1823,Lebo Mothiba\3eaf8817,za RSA,FWMF,Troyes,fr Ligue 1,26-103,1996,5.7,17.9,21.2,84.3,234.6,34.7,11.1,12.1,91.3,4.56,5.44,83.9,0.70,1.23,57.1,0.00,0.14,-0.14,1.23,0.53,0.18,0.18,0.53,Matches
1824,Andrei Motoc\b64073a0,ro ROU,DF,Salernitana,it Serie A,20-130,2002,1.0,18.0,22.0,81.8,482.0,182.0,2.00,2.00,100.0,9.00,9.00,100.0,7.00,11.0,63.6,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,Matches
1825,Baptiste Mouazan\81ac108d,fr FRA,MF,Lorient,fr Ligue 1,20-226,2001,1.1,22.7,29.1,78.1,350.9,74.5,10.0,10.9,91.7,10.0,10.9,91.7,1.82,5.45,33.3,0.00,0.00,0.00,0.00,1.82,0.91,0.00,1.82,Matches
1826,Aimen Moueffek\2591b066,fr FRA,MF,Saint-Étienne,fr Ligue 1,21-032,2001,4.6,42.6,48.7,87.5,790.4,160.4,18.3,20.0,91.3,18.5,20.9,88.5,5.65,7.17,78.8,0.00,0.02,-0.02,0.43,4.35,0.43,0.00,4.13,Matches
1827,Youssoufa Moukoko\6ce43701,de GER,FW,Dortmund,de Bundesliga,17-172,2004,2.4,14.6,17.5,83.3,218.8,27.1,6.67,7.92,84.2,5.00,5.42,92.3,1.25,1.67,75.0,0.00,0.04,-0.04,0.83,1.25,0.00,0.00,0.83,Matches
1828,Harold Moukoudi\5f26e0c5,cm CMR,DF,Saint-Étienne,fr Ligue 1,24-165,1997,17.1,45.8,50.4,90.9,1040.9,322.2,13.0,14.0,92.9,21.9,23.2,94.5,10.6,12.4,85.4,0.00,0.01,-0.01,0.06,2.57,0.06,0.00,1.87,Matches
1829,Jessy Moulin\28a65a2c,fr FRA,GK,Troyes,fr Ligue 1,36-118,1986,6.0,21.2,32.7,64.8,642.0,345.0,2.83,2.83,100.0,8.50,8.83,96.2,9.33,20.5,45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1830,Steve Mounié\19ba6c6d,bj BEN,FW,Brest,fr Ligue 1,27-224,1994,24.4,18.2,29.2,62.1,260.4,63.4,10.9,15.6,70.3,5.66,9.96,56.8,0.98,1.93,51.1,0.08,0.05,0.03,0.66,1.89,0.49,0.04,2.21,Matches
1831,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,eng Premier League,23-121,1999,24.3,37.0,47.6,77.7,579.1,175.1,20.6,23.0,89.6,11.6,14.6,79.7,3.09,6.71,46.0,0.37,0.25,0.12,2.22,2.26,1.98,0.37,4.49,Matches
1832,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,eng Premier League,29-271,1992,18.4,28.5,38.0,75.1,434.6,119.1,16.2,18.9,85.9,10.3,13.7,75.0,1.36,3.15,43.1,0.27,0.20,0.08,1.47,2.66,1.41,0.16,3.97,Matches
1833,Lys Mousset\d9cfca3d,fr FRA,FWMF,Salernitana,it Serie A,26-092,1996,1.8,21.7,26.7,81.3,301.1,86.7,13.9,15.6,89.3,7.22,8.89,81.3,0.56,0.56,100.0,0.56,0.11,0.44,1.67,2.22,1.67,0.56,2.22,Matches
1834,João Moutinho\f5a00fa4,pt POR,MF,Wolves,eng Premier League,35-245,1986,30.1,51.0,60.6,84.2,1056.0,215.0,17.4,19.6,88.8,23.4,25.9,90.0,9.40,13.3,70.9,0.03,0.08,-0.04,1.16,4.39,0.53,0.10,4.15,Matches
1835,Samuel Moutoussamy\af0c835b,cd COD,MF,Nantes,fr Ligue 1,25-272,1996,14.8,36.4,43.0,84.6,637.6,154.6,17.8,19.8,89.8,14.2,16.0,88.6,3.51,4.93,71.2,0.07,0.03,0.04,0.34,2.57,0.47,0.07,1.96,Matches
1836,Toni Moya\9e098912,es ESP,MF,Alavés,es La Liga,24-052,1998,15.3,26.3,38.4,68.7,552.4,161.1,10.5,12.7,83.0,9.80,11.8,82.9,5.49,12.5,44.0,0.07,0.12,-0.05,1.50,2.22,0.52,0.13,2.42,Matches
1837,Samuel Mráz\be6c1ccc,sk SVK,FW,Spezia,it Serie A,24-363,1997,0.6,13.3,18.3,72.7,223.3,21.7,6.67,10.0,66.7,5.00,6.67,75.0,1.67,1.67,100.0,0.00,0.00,0.00,0.00,1.67,0.00,0.00,1.67,Matches
1838,Nordi Mukiele\ac73ec79,fr FRA,DF,RB Leipzig,de Bundesliga,24-191,1997,20.5,42.0,55.7,75.5,759.0,302.9,19.3,22.7,85.0,16.7,21.4,78.1,5.27,8.54,61.7,0.15,0.13,0.02,0.63,1.90,1.41,0.39,4.49,Matches
1839,Mert Müldür\1295552e,tr TUR,DF,Sassuolo,it Serie A,23-038,1999,20.9,42.6,52.9,80.5,725.5,311.5,20.5,22.7,90.1,17.4,20.9,83.5,3.88,7.22,53.6,0.00,0.06,-0.06,0.62,3.68,0.91,0.24,4.11,Matches
1840,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,de Bundesliga,24-179,1997,29.0,28.6,34.0,84.0,719.8,374.3,7.17,7.17,100.0,12.6,12.7,98.9,8.31,13.6,61.0,0.00,0.00,0.00,0.00,0.10,0.03,0.00,0.00,Matches
1841,Thomas Müller\3c6089ab,de GER,MF,Bayern Munich,de Bundesliga,32-240,1989,27.8,39.7,53.3,74.6,633.3,164.2,21.2,25.4,83.5,14.1,18.6,75.6,2.99,5.83,51.2,0.61,0.38,0.23,2.45,2.66,2.27,0.72,4.96,Matches
1842,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,eng Premier League,20-215,2001,0.5,14.0,20.0,70.0,198.0,72.0,10.0,12.0,83.3,4.00,4.00,100.0,0.00,4.00,0.0,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,Matches
1843,Marshall Munetsi\2acf0cd7,zw ZIM,MFDF,Reims,fr Ligue 1,25-323,1996,18.9,25.0,30.6,81.7,492.4,118.4,9.89,11.5,86.2,10.3,12.1,85.2,4.18,5.98,69.9,0.05,0.03,0.03,0.32,1.64,0.05,0.00,1.16,Matches
1844,Iker Muniain\c05dfb74,es ESP,MF,Athletic Club,es La Liga,29-143,1992,28.9,39.8,51.1,78.0,687.7,258.7,20.2,22.6,89.4,13.5,16.4,82.3,5.05,9.65,52.3,0.31,0.32,-0.01,3.43,3.60,2.39,0.35,6.06,Matches
1845,Aihen Muñoz\228b0d9d,es ESP,DF,Real Sociedad,es La Liga,24-268,1997,14.8,38.8,50.6,76.6,683.6,291.2,17.0,19.3,88.4,18.2,21.6,84.6,2.97,7.43,40.0,0.00,0.03,-0.03,0.41,3.11,0.68,0.27,2.70,Matches
1846,Luis Muriel\eb2fe5b6,co COL,FW,Atalanta,it Serie A,31-025,1991,16.5,33.0,44.9,73.5,545.5,156.7,16.6,20.1,82.8,10.0,13.9,71.7,3.94,6.91,57.0,0.48,0.33,0.16,3.58,1.88,2.24,0.48,4.00,Matches
1847,Jeison Murillo\b233e8e4,co COL,DF,Celta Vigo,es La Liga,29-349,1992,12.2,51.0,57.0,89.5,1180.5,293.1,12.6,13.4,94.5,25.2,27.0,93.6,12.6,15.9,79.4,0.00,0.00,0.00,0.08,3.61,0.08,0.00,2.21,Matches
1848,Vedat Muriqi\0cadc46d,xk KVX,FW,Mallorca,es La Liga,28-017,1994,13.0,15.2,27.6,55.2,203.3,38.8,9.46,14.4,65.8,3.92,8.92,44.0,0.69,1.92,36.0,0.15,0.06,0.09,0.54,0.77,0.77,0.15,1.46,Matches
1849,Vedat Muriqi\0cadc46d,xk KVX,FW,Lazio,it Serie A,28-017,1994,2.4,19.2,28.8,66.7,335.0,27.1,7.08,10.0,70.8,10.4,17.1,61.0,1.25,1.25,100.0,0.00,0.00,0.00,0.00,0.42,0.83,0.00,0.83,Matches
